cpf,transaction_description,transaction_date,points_value,monetary_value,status
15.762.733-34,Transferencia PIX,2024-02-08,375,199.80,approved
16.088.694-81,Pagamento servico,2024-01-01,397,706.42,approved
18.501.627-11,Bonus indicacao,2023-05-10,18,374.77,approved
21.413.143-07,Pagamento boleto,2023-11-05,288,176.76,approved
12.974.857-12,Bonus indicacao,2023-05-03,128,400.28,approved
16.846.631-36,Transferencia PIX,2023-09-06,293,369.75,pending
10.948.734-91,Estorno parcial,2023-05-10,476,752.29,rejected
7.050.893-69,Compra supermercado,2024-10-09,479,596.22,rejected
24.950.428-05,Compra supermercado,2024-01-21,31,763.25,approved
19.181.540-03,Cashback compra,2023-12-12,363,489.33,approved
10.928.229-44,Compra restaurante,2024-02-03,65,146.85,approved
17.676.505-53,Transferencia PIX,2024-11-03,163,232.98,pending
16.849.096-30,Cashback compra,2025-02-03,375,540.85,pending
10.492.240-15,Cashback compra,2023-04-17,396,431.70,approved
16.074.949-22,Pagamento fatura,2024-03-12,431,178.84,pending
11.824.163-64,Compra farmacia,2023-04-25,440,444.91,pending
9.405.511-26,Cashback compra,2024-10-13,266,295.92,approved
17.586.125-71,Pagamento boleto,2023-11-19,113,521.39,rejected
13.165.532-80,Pagamento fatura,2023-02-01,17,454.95,rejected
7.988.921-65,Compra combustivel,2025-01-01,299,697.25,approved
12.733.071-68,Cashback compra,2023-03-27,440,70.92,pending
12.722.599-07,Pagamento boleto,2023-06-12,308,561.38,pending
9.262.561-53,Assinatura streaming,2023-06-24,78,637.67,approved
19.423.957-79,Recarga celular,2023-03-12,23,349.64,rejected
7.318.164-66,Cashback compra,2025-04-22,159,268.13,approved
11.666.924-39,Pagamento servico,2025-02-23,344,548.38,rejected
11.841.615-67,Recarga celular,2024-07-24,422,203.25,approved
7.380.449-31,Pagamento servico,2024-03-12,141,413.38,approved
8.102.002-95,Compra restaurante,2024-10-02,422,49.30,pending
14.907.998-11,Compra farmacia,2023-08-02,237,60.46,rejected
14.886.553-98,Compra combustivel,2023-09-07,108,498.37,approved
15.726.692-97,Pagamento servico,2023-10-27,321,73.61,pending
23.963.745-54,Estorno parcial,2024-09-21,244,323.47,rejected
22.574.447-03,Compra combustivel,2024-01-21,318,216.18,approved
2.230.199-50,Compra supermercado,2024-12-07,225,372.14,pending
13.117.134-60,Transferencia PIX,2023-02-10,345,499.84,approved
11.572.153-41,Compra restaurante,2024-10-04,158,366.40,pending
10.725.169-35,Compra restaurante,2023-02-24,188,456.08,pending
9.499.283-22,Estorno parcial,2024-02-07,114,474.47,pending
21.324.813-05,Pagamento fatura,2024-03-02,95,224.71,approved
19.959.619-25,Cashback compra,2023-08-01,319,391.33,pending
9.513.424-61,Pagamento servico,2024-04-05,254,464.83,pending
14.513.519-92,Recarga celular,2024-05-22,481,763.51,rejected
18.821.928-37,Compra online,2023-01-20,168,170.36,pending
15.265.282-15,Compra restaurante,2023-02-16,70,761.75,pending
14.753.402-83,Compra combustivel,2024-02-28,16,322.67,approved
12.782.729-79,Transferencia PIX,2024-01-24,281,75.07,approved
16.635.107-21,Transferencia PIX,2024-07-11,375,233.90,approved
8.289.146-11,Pagamento fatura,2023-04-12,110,753.01,rejected
17.316.124-11,Assinatura streaming,2024-05-15,157,717.47,rejected
22.576.578-49,Pagamento boleto,2025-01-17,229,566.51,approved
16.370.349-07,Recarga celular,2024-03-08,149,300.50,approved
16.774.629-01,Compra online,2024-02-03,386,79.29,rejected
14.851.931-55,Recarga celular,2023-02-02,103,796.39,pending
15.506.583-78,Compra combustivel,2023-11-08,334,782.44,approved
23.570.551-26,Compra farmacia,2023-01-21,34,241.90,approved
9.622.344-16,Transferencia PIX,2023-04-25,361,631.26,approved
25.274.008-41,Compra combustivel,2023-08-23,404,126.67,approved
13.151.882-64,Bonus indicacao,2023-11-15,36,541.73,pending
20.920.419-54,Recarga celular,2024-10-20,186,794.72,approved
10.614.422-14,Estorno parcial,2023-06-15,492,791.21,approved
19.287.786-22,Pagamento boleto,2023-11-15,89,761.71,pending
14.355.755-77,Pagamento fatura,2023-12-14,384,752.89,rejected
9.885.819-62,Recarga celular,2023-05-03,429,259.75,approved
12.806.671-22,Compra supermercado,2024-05-16,385,624.34,pending
13.619.975-02,Compra restaurante,2024-11-16,216,735.61,approved
21.982.916-94,Transferencia PIX,2023-10-31,29,36.46,pending
14.706.395-84,Compra online,2024-06-04,199,723.83,approved
20.588.974-80,Recarga celular,2024-05-17,50,689.99,approved
10.850.954-63,Assinatura streaming,2023-11-29,393,762.37,approved
15.612.833-05,Compra online,2024-12-05,410,354.31,approved
19.827.737-34,Pagamento fatura,2024-07-06,187,161.43,approved
21.514.448-28,Compra vestuario,2023-03-15,209,110.75,rejected
7.699.028-07,Compra vestuario,2023-01-13,214,382.38,approved
16.896.804-16,Estorno parcial,2023-03-31,497,749.85,approved
15.633.576-52,Bonus indicacao,2023-02-24,283,409.63,pending
12.543.844-17,Bonus indicacao,2024-10-18,80,773.36,approved
9.919.742-92,Assinatura streaming,2025-02-03,344,418.29,pending
5.106.366-96,Assinatura streaming,2023-02-19,436,655.80,approved
21.619.343-73,Cashback compra,2024-08-26,215,214.76,pending
23.840.754-30,Compra restaurante,2023-05-25,163,178.84,approved
19.014.156-20,Compra restaurante,2024-05-03,77,464.25,pending
16.490.785-57,Compra online,2024-12-30,371,151.87,approved
16.176.611-40,Pagamento boleto,2024-07-12,205,415.92,approved
18.871.858-59,Compra online,2025-01-04,282,36.71,approved
13.312.054-85,Bonus indicacao,2024-09-19,73,504.89,approved
14.344.205-82,Compra vestuario,2024-07-16,175,260.16,pending
6.791.237-77,Compra supermercado,2023-11-22,232,379.81,approved
6.783.551-09,Pagamento boleto,2024-06-24,270,348.50,approved
18.209.739-62,Transferencia PIX,2024-07-31,268,626.68,approved
17.747.876-26,Compra farmacia,2023-12-02,378,614.97,pending
15.795.863-79,Compra restaurante,2023-01-06,498,661.00,approved
11.812.869-03,Cashback compra,2025-01-26,122,417.73,pending
14.938.138-91,Bonus indicacao,2024-11-15,74,470.10,rejected
8.437.759-52,Cashback compra,2023-06-14,170,140.78,pending
4.735.432-38,Bonus indicacao,2024-07-02,429,609.16,rejected
15.174.335-40,Compra combustivel,2023-09-14,473,335.30,pending
14.201.634-69,Compra restaurante,2023-04-08,440,632.81,rejected
8.315.240-00,Compra restaurante,2024-09-01,37,345.52,approved
14.570.056-70,Compra restaurante,2025-01-23,116,39.42,pending
9.314.893-38,Estorno parcial,2023-01-13,343,172.32,pending
19.882.072-51,Compra supermercado,2023-01-19,28,739.99,approved
27.212.036-52,Compra farmacia,2024-07-22,335,194.69,approved
10.530.662-53,Bonus indicacao,2023-07-21,240,135.11,approved
19.105.435-43,Bonus indicacao,2024-06-27,238,606.79,rejected
11.422.145-19,Bonus indicacao,2024-06-30,343,329.41,approved
14.378.483-44,Estorno parcial,2024-08-05,396,398.08,pending
20.659.908-88,Compra farmacia,2024-02-05,437,14.62,rejected
19.863.687-28,Transferencia PIX,2023-07-30,360,668.03,pending
7.710.277-28,Recarga celular,2024-02-06,347,442.07,approved
10.964.589-78,Recarga celular,2024-05-30,491,660.44,pending
23.564.010-02,Compra farmacia,2023-11-18,108,699.32,approved
18.078.545-38,Compra restaurante,2024-07-07,227,111.12,pending
4.728.431-72,Assinatura streaming,2025-04-19,289,254.19,approved
11.865.966-04,Transferencia PIX,2023-05-08,325,354.93,approved
14.933.951-45,Cashback compra,2024-04-13,80,590.72,approved
10.635.695-31,Compra vestuario,2023-11-18,142,410.77,approved
8.766.555-84,Transferencia PIX,2024-08-28,156,136.32,approved
13.296.619-35,Transferencia PIX,2024-03-21,149,147.75,pending
22.267.941-00,Estorno parcial,2023-11-13,151,576.67,approved
14.135.201-23,Compra restaurante,2023-03-20,370,575.60,pending
16.590.054-08,Pagamento boleto,2023-10-02,413,730.39,approved
10.980.643-53,Recarga celular,2023-11-11,182,512.23,pending
11.011.357-50,Compra supermercado,2024-10-04,263,139.16,pending
15.196.433-76,Compra supermercado,2023-03-27,156,317.57,approved
12.872.370-37,Recarga celular,2023-05-06,377,166.06,pending
19.487.594-70,Pagamento fatura,2023-03-14,226,667.28,approved
14.587.337-27,Cashback compra,2024-10-26,398,131.75,rejected
12.942.464-03,Transferencia PIX,2024-07-02,485,520.24,approved
15.071.044-59,Compra online,2023-06-15,57,188.28,approved
11.308.009-38,Recarga celular,2024-02-14,463,101.21,approved
10.364.555-99,Recarga celular,2023-05-26,265,366.28,pending
13.444.290-24,Pagamento servico,2023-06-08,360,308.48,approved
11.511.648-07,Assinatura streaming,2024-08-07,462,6.51,pending
18.559.165-68,Assinatura streaming,2023-06-18,375,692.98,approved
11.631.843-02,Assinatura streaming,2023-03-16,311,88.02,pending
6.219.781-42,Estorno parcial,2024-09-21,104,652.24,pending
12.756.318-26,Assinatura streaming,2024-06-04,373,17.01,approved
6.760.898-91,Estorno parcial,2023-07-23,426,107.04,approved
19.409.531-39,Recarga celular,2023-02-21,71,693.89,approved
16.322.961-17,Compra combustivel,2024-07-17,113,125.81,approved
18.390.769-27,Transferencia PIX,2023-12-07,444,741.23,approved
12.180.823-19,Bonus indicacao,2024-12-05,335,232.31,approved
13.623.504-24,Estorno parcial,2023-11-10,124,654.02,approved
11.991.524-99,Compra farmacia,2023-10-05,89,168.03,rejected
22.736.055-14,Compra farmacia,2024-07-21,430,333.63,pending
15.288.880-71,Transferencia PIX,2024-09-13,249,383.69,approved
14.789.209-97,Pagamento fatura,2023-03-24,234,607.74,approved
15.011.214-51,Recarga celular,2024-11-02,156,583.86,approved
4.691.569-59,Compra combustivel,2023-07-27,55,174.16,pending
14.602.670-14,Pagamento fatura,2023-02-11,173,317.76,approved
14.159.383-75,Pagamento servico,2025-01-26,340,180.38,rejected
14.414.541-26,Compra supermercado,2024-09-20,149,445.30,approved
8.686.975-80,Compra supermercado,2024-01-09,261,447.31,pending
16.504.230-53,Compra supermercado,2024-02-25,328,346.87,approved
15.728.182-32,Bonus indicacao,2024-04-22,338,583.09,approved
9.513.419-87,Recarga celular,2024-01-24,236,741.75,rejected
13.835.036-84,Recarga celular,2025-03-12,322,768.51,approved
14.834.350-83,Compra vestuario,2023-12-09,40,636.81,approved
15.307.200-82,Compra combustivel,2025-02-19,427,337.58,approved
13.533.709-80,Transferencia PIX,2023-02-22,204,168.75,approved
21.756.633-68,Pagamento boleto,2023-09-13,335,591.75,approved
19.204.104-35,Compra supermercado,2024-06-30,47,792.84,approved
15.569.184-24,Estorno parcial,2024-10-25,360,406.27,rejected
10.264.870-19,Compra farmacia,2023-02-13,263,30.52,rejected
18.210.084-24,Transferencia PIX,2024-11-30,479,547.38,approved
19.632.137-60,Transferencia PIX,2025-03-15,443,366.66,approved
19.213.279-38,Estorno parcial,2023-03-08,218,157.25,approved
15.357.648-14,Pagamento fatura,2025-03-01,393,695.24,approved
16.952.770-81,Pagamento boleto,2025-03-12,273,59.82,approved
9.308.891-59,Compra online,2024-11-26,497,94.68,approved
8.366.449-84,Pagamento boleto,2023-03-17,56,154.96,approved
20.665.132-92,Compra combustivel,2025-02-21,439,447.59,approved
8.899.776-56,Estorno parcial,2024-05-15,402,787.18,pending
10.851.475-72,Pagamento fatura,2024-01-18,289,465.73,pending
17.239.884-50,Cashback compra,2024-12-08,319,403.07,approved
12.323.786-31,Compra supermercado,2023-05-20,431,201.33,rejected
18.819.942-47,Compra vestuario,2023-11-04,460,124.58,rejected
16.966.627-35,Assinatura streaming,2024-05-08,161,224.87,pending
18.082.910-32,Pagamento fatura,2023-02-15,498,289.03,rejected
24.227.301-86,Compra vestuario,2023-06-26,25,375.41,approved
18.603.571-37,Pagamento servico,2023-03-22,288,674.86,pending
18.162.149-84,Pagamento fatura,2023-11-02,435,618.06,approved
17.195.859-71,Compra farmacia,2024-08-09,426,629.45,pending
13.316.016-29,Pagamento fatura,2024-03-26,215,466.36,approved
3.047.730-28,Bonus indicacao,2024-09-26,355,467.44,pending
20.091.987-62,Assinatura streaming,2024-08-14,68,561.25,pending
16.263.166-31,Recarga celular,2023-04-17,47,198.77,approved
22.113.458-04,Compra vestuario,2023-10-03,361,776.87,approved
17.637.499-62,Estorno parcial,2023-02-16,92,681.46,pending
11.012.357-46,Recarga celular,2024-01-24,497,52.27,rejected
11.719.457-61,Pagamento servico,2023-10-08,101,747.56,approved
16.700.046-23,Compra farmacia,2025-01-30,262,546.45,pending
19.819.886-61,Estorno parcial,2023-05-01,362,558.49,approved
17.537.762-59,Estorno parcial,2024-11-15,214,11.27,approved
15.274.808-92,Assinatura streaming,2024-05-23,132,315.30,pending
4.147.166-30,Cashback compra,2024-03-24,243,14.89,rejected
17.170.694-48,Pagamento fatura,2024-05-17,230,180.21,approved
16.254.623-21,Pagamento servico,2025-04-29,125,495.80,rejected
14.292.291-72,Compra online,2024-04-06,389,343.54,approved
16.691.640-69,Bonus indicacao,2025-02-06,428,412.60,pending
9.100.033-66,Compra supermercado,2023-01-30,300,669.10,pending
5.809.765-96,Assinatura streaming,2024-04-21,306,110.52,pending
3.986.803-07,Compra farmacia,2025-01-29,211,641.06,approved
13.959.712-48,Cashback compra,2024-10-09,207,752.21,approved
15.311.703-27,Assinatura streaming,2023-01-12,113,472.32,approved
12.887.762-24,Pagamento boleto,2024-09-17,358,426.81,approved
22.632.990-56,Recarga celular,2024-01-07,77,246.19,pending
13.047.068-53,Compra farmacia,2023-06-15,340,473.41,approved
10.347.453-77,Pagamento fatura,2023-03-17,466,661.42,approved
14.355.092-25,Pagamento boleto,2024-03-11,228,265.05,pending
18.050.315-16,Compra combustivel,2024-08-12,63,104.72,pending
12.806.031-01,Pagamento servico,2023-02-11,331,358.99,pending
17.919.710-84,Pagamento fatura,2023-02-19,159,643.59,approved
17.471.955-40,Pagamento servico,2024-12-30,249,782.53,pending
17.109.388-38,Transferencia PIX,2023-06-05,434,440.28,approved
15.795.460-18,Compra vestuario,2023-08-24,197,92.82,approved
11.477.045-13,Bonus indicacao,2023-12-31,138,632.45,pending
12.304.338-52,Compra combustivel,2025-04-24,355,492.07,pending
13.486.067-96,Pagamento fatura,2024-07-28,108,115.06,rejected
10.594.506-64,Assinatura streaming,2023-10-05,60,352.56,approved
16.156.076-36,Compra combustivel,2023-02-04,449,410.76,approved
15.089.340-48,Bonus indicacao,2023-05-16,396,102.37,rejected
10.593.583-83,Compra combustivel,2024-04-06,230,288.82,rejected
20.760.548-53,Assinatura streaming,2023-09-23,467,379.71,pending
9.419.729-28,Compra farmacia,2024-03-10,393,700.02,rejected
9.466.875-00,Transferencia PIX,2024-10-02,152,414.02,approved
12.246.332-34,Cashback compra,2023-07-11,90,110.89,approved
12.929.390-12,Pagamento fatura,2023-10-05,355,584.46,approved
18.517.315-39,Estorno parcial,2025-03-04,68,301.37,pending
14.071.312-17,Compra farmacia,2025-03-27,316,563.78,pending
20.799.630-15,Transferencia PIX,2023-08-15,41,594.21,pending
18.052.882-71,Pagamento boleto,2024-11-06,173,118.91,approved
8.756.452-16,Compra farmacia,2024-08-13,13,522.54,rejected
18.280.002-53,Pagamento fatura,2023-02-08,42,209.94,approved
14.446.574-07,Compra farmacia,2025-03-22,364,193.21,approved
11.001.591-94,Cashback compra,2024-07-23,484,515.26,pending
14.555.039-89,Pagamento servico,2025-04-02,172,11.76,approved
9.330.858-46,Assinatura streaming,2024-08-12,405,249.01,approved
16.140.174-94,Bonus indicacao,2023-03-25,341,308.49,approved
23.783.818-71,Pagamento boleto,2024-05-01,418,655.51,pending
11.040.895-35,Assinatura streaming,2024-09-24,78,126.95,pending
14.328.256-24,Cashback compra,2025-01-07,43,505.74,approved
16.129.733-60,Compra combustivel,2023-04-29,461,189.45,approved
21.729.762-32,Cashback compra,2024-06-16,437,677.90,pending
15.771.739-91,Pagamento servico,2023-01-29,68,149.81,approved
21.017.442-59,Compra farmacia,2025-04-18,40,219.93,rejected
23.700.178-74,Compra vestuario,2023-11-22,499,681.01,approved
4.901.172-42,Compra farmacia,2023-08-17,356,557.43,approved
12.085.513-78,Pagamento servico,2024-02-13,441,21.33,pending
15.512.494-85,Transferencia PIX,2023-03-08,299,72.29,approved
11.397.878-05,Pagamento boleto,2023-04-20,290,296.60,approved
8.530.633-07,Transferencia PIX,2025-02-11,17,112.75,approved
16.874.831-81,Compra restaurante,2023-10-22,36,754.21,pending
12.418.577-70,Compra farmacia,2024-11-17,323,731.06,approved
17.867.036-40,Estorno parcial,2023-07-15,174,607.87,pending
9.073.030-56,Compra online,2023-09-05,407,733.56,approved
9.635.622-26,Assinatura streaming,2025-03-26,21,729.29,approved
9.611.941-47,Cashback compra,2023-04-26,135,517.76,rejected
17.580.309-03,Compra farmacia,2023-07-12,384,596.23,approved
11.673.892-37,Pagamento servico,2024-04-21,265,734.31,approved
13.256.181-27,Bonus indicacao,2023-09-07,435,648.53,approved
10.435.257-91,Bonus indicacao,2023-03-31,254,54.73,pending
11.079.613-61,Pagamento servico,2024-11-05,209,502.32,approved
13.352.824-75,Compra online,2023-03-20,194,615.68,pending
14.698.250-40,Compra restaurante,2023-04-07,52,203.89,pending
26.464.229-16,Transferencia PIX,2024-02-10,125,294.59,approved
21.183.815-32,Pagamento fatura,2023-12-08,103,78.19,pending
16.893.680-36,Compra farmacia,2025-02-08,392,695.80,rejected
18.914.406-61,Assinatura streaming,2023-07-19,360,429.40,approved
23.756.393-47,Bonus indicacao,2023-01-04,60,21.04,rejected
22.883.378-32,Estorno parcial,2023-07-29,277,639.68,pending
15.051.171-61,Compra supermercado,2023-08-11,376,569.87,approved
14.087.515-56,Compra online,2023-12-12,122,165.72,approved
17.892.543-61,Cashback compra,2023-07-08,377,29.90,approved
11.243.298-82,Recarga celular,2024-01-23,260,534.77,approved
9.200.512-32,Transferencia PIX,2024-11-18,442,637.62,pending
16.365.995-07,Compra restaurante,2024-06-15,492,154.33,pending
6.066.325-11,Transferencia PIX,2024-11-07,148,160.07,approved
13.799.910-19,Recarga celular,2024-02-01,362,509.66,pending
6.558.201-11,Transferencia PIX,2024-04-06,479,686.33,rejected
16.170.854-55,Compra vestuario,2023-07-15,163,607.54,approved
13.349.183-66,Compra online,2024-12-08,284,444.39,rejected
14.804.458-24,Cashback compra,2025-03-07,414,661.93,rejected
6.124.599-63,Pagamento fatura,2024-11-20,226,638.21,pending
17.092.364-61,Compra restaurante,2023-05-29,177,380.82,approved
13.116.652-10,Compra vestuario,2023-09-16,295,174.96,approved
13.453.222-14,Bonus indicacao,2023-06-03,248,426.34,rejected
13.901.159-23,Bonus indicacao,2024-02-03,229,254.43,approved
15.019.182-60,Cashback compra,2023-11-23,50,81.81,rejected
16.313.367-38,Recarga celular,2024-07-29,453,324.94,approved
9.067.312-22,Assinatura streaming,2023-12-23,141,429.58,approved
19.939.583-36,Compra combustivel,2023-12-03,360,752.10,approved
9.254.384-42,Compra combustivel,2024-02-16,88,630.28,approved
19.557.109-93,Compra vestuario,2023-03-13,184,244.29,approved
10.306.760-72,Assinatura streaming,2025-04-04,243,798.53,rejected
12.031.259-42,Assinatura streaming,2023-06-20,308,133.75,rejected
3.489.275-28,Pagamento servico,2023-04-02,197,430.68,approved
22.685.360-40,Compra online,2024-08-30,56,104.87,pending
18.758.370-61,Pagamento boleto,2023-07-26,24,86.89,pending
12.396.510-69,Compra combustivel,2024-07-31,386,171.86,rejected
17.060.600-90,Pagamento fatura,2023-12-01,198,610.94,pending
4.286.618-78,Compra supermercado,2023-07-08,337,662.43,approved
10.584.551-31,Compra vestuario,2023-11-20,320,647.13,approved
17.826.683-07,Pagamento servico,2024-08-02,475,403.65,pending
6.252.488-93,Compra online,2024-12-09,76,456.56,pending
15.990.949-79,Compra combustivel,2024-10-16,404,716.60,rejected
10.601.153-77,Transferencia PIX,2023-05-02,210,735.10,approved
14.725.849-07,Estorno parcial,2023-01-17,48,676.00,rejected
13.468.156-95,Bonus indicacao,2025-04-23,289,99.15,rejected
9.827.710-87,Pagamento boleto,2024-08-24,377,622.25,approved
16.289.408-94,Pagamento boleto,2023-07-11,70,635.52,approved
16.379.274-56,Compra supermercado,2023-07-21,213,585.46,approved
13.697.391-21,Assinatura streaming,2023-05-05,45,212.90,pending
9.968.624-85,Pagamento fatura,2024-01-26,317,618.50,rejected
13.688.023-51,Compra combustivel,2023-12-05,327,150.60,rejected
24.476.496-38,Recarga celular,2023-04-20,307,791.76,approved
10.071.414-33,Compra restaurante,2024-09-17,36,67.78,approved
7.481.734-02,Assinatura streaming,2025-01-18,356,353.19,pending
15.063.512-57,Cashback compra,2023-05-09,157,299.40,approved
15.822.851-76,Recarga celular,2023-11-06,180,134.80,approved
8.060.997-46,Pagamento boleto,2023-07-28,135,112.99,approved
9.372.633-66,Compra vestuario,2024-01-02,108,90.11,approved
6.480.712-79,Assinatura streaming,2024-11-01,304,368.16,pending
17.958.105-40,Recarga celular,2024-02-09,212,588.91,pending
10.975.168-14,Compra supermercado,2025-03-08,455,292.29,approved
12.320.371-90,Pagamento servico,2023-11-30,36,462.52,pending
7.392.221-88,Compra vestuario,2024-10-20,271,280.65,approved
16.635.055-31,Compra supermercado,2023-10-30,456,226.81,rejected
14.714.914-08,Pagamento fatura,2023-02-26,442,297.07,approved
19.070.827-04,Transferencia PIX,2025-03-01,354,251.05,approved
14.047.332-01,Pagamento boleto,2025-04-20,417,226.59,approved
20.977.279-99,Compra online,2023-07-22,88,737.11,approved
16.663.434-14,Assinatura streaming,2024-11-07,336,194.30,approved
20.699.665-62,Assinatura streaming,2023-05-20,176,463.41,rejected
14.078.336-63,Compra farmacia,2024-12-18,141,151.02,approved
6.176.503-91,Compra farmacia,2023-01-08,394,702.68,approved
20.432.175-84,Compra vestuario,2023-03-02,110,348.75,approved
17.013.726-73,Compra combustivel,2024-05-20,43,646.61,rejected
16.571.770-97,Transferencia PIX,2023-04-04,152,303.18,pending
16.320.925-80,Bonus indicacao,2023-11-26,300,719.13,approved
15.525.747-81,Pagamento servico,2025-01-19,230,369.50,pending
9.057.092-49,Pagamento fatura,2024-03-08,395,31.79,approved
5.976.043-75,Assinatura streaming,2025-04-15,56,472.81,approved
18.520.283-09,Compra supermercado,2023-04-08,265,648.84,pending
22.346.656-72,Bonus indicacao,2024-11-27,95,575.12,rejected
13.885.794-88,Pagamento fatura,2024-04-29,362,771.95,approved
14.765.188-25,Compra combustivel,2024-10-06,404,301.43,approved
19.860.830-11,Pagamento boleto,2024-04-16,300,647.36,approved
14.280.158-89,Transferencia PIX,2025-03-22,245,131.37,approved
22.634.785-35,Compra farmacia,2024-04-14,365,660.14,rejected
15.676.511-78,Compra online,2024-10-03,331,744.27,approved
12.148.109-77,Compra farmacia,2024-01-31,390,38.61,pending
11.388.792-65,Bonus indicacao,2025-03-02,387,621.70,pending
8.651.585-73,Transferencia PIX,2024-09-26,115,775.86,pending
9.358.293-68,Pagamento boleto,2023-12-09,113,450.73,approved
7.077.293-75,Compra combustivel,2023-07-03,413,182.59,approved
21.603.732-97,Compra restaurante,2025-01-06,195,503.58,approved
15.739.502-38,Compra vestuario,2024-08-05,178,732.87,rejected
14.423.151-26,Compra vestuario,2023-05-11,470,533.65,approved
19.731.644-73,Bonus indicacao,2025-01-01,410,121.08,pending
11.080.385-09,Compra farmacia,2024-12-16,431,44.38,pending
11.609.479-85,Pagamento fatura,2024-12-19,457,502.76,approved
16.287.267-01,Compra farmacia,2024-08-30,397,360.24,approved
9.906.397-33,Transferencia PIX,2023-05-10,20,303.30,approved
13.782.440-10,Compra combustivel,2023-05-01,135,6.33,approved
21.007.451-55,Compra online,2023-08-25,362,617.67,pending
25.039.481-76,Recarga celular,2024-10-27,216,423.82,rejected
15.763.937-93,Estorno parcial,2024-04-11,368,764.52,approved
1.246.105-68,Compra online,2024-02-26,246,481.54,rejected
17.037.688-70,Assinatura streaming,2024-11-21,379,229.01,approved
19.364.291-33,Compra online,2023-08-30,90,324.88,rejected
17.480.000-50,Compra farmacia,2024-11-01,122,273.39,approved
14.549.157-71,Assinatura streaming,2025-02-01,194,248.51,approved
18.150.267-53,Bonus indicacao,2024-02-17,375,213.44,approved
13.017.623-24,Transferencia PIX,2023-01-20,324,400.54,rejected
12.963.227-89,Compra supermercado,2023-07-31,257,762.73,approved
13.825.372-43,Recarga celular,2023-11-21,378,776.45,pending
11.524.810-37,Assinatura streaming,2023-12-10,471,565.06,pending
23.219.494-65,Compra combustivel,2023-07-15,415,643.38,approved
9.157.365-86,Assinatura streaming,2024-02-08,384,746.70,pending
5.085.044-49,Cashback compra,2024-09-11,64,360.53,approved
12.942.379-55,Compra restaurante,2023-05-04,483,83.69,approved
11.143.631-23,Compra vestuario,2024-07-25,13,668.60,approved
13.296.777-83,Estorno parcial,2023-04-05,341,484.18,pending
11.218.793-98,Estorno parcial,2024-05-11,120,308.48,approved
2.961.713-17,Compra combustivel,2023-08-11,181,460.73,rejected
13.225.154-25,Compra vestuario,2023-07-16,140,617.49,approved
6.795.924-01,Pagamento boleto,2024-08-27,333,233.25,pending
17.650.432-93,Estorno parcial,2024-08-17,465,272.90,approved
22.373.384-27,Estorno parcial,2023-01-17,442,472.01,rejected
2.645.409-37,Pagamento fatura,2023-07-06,143,370.70,pending
19.989.967-26,Compra farmacia,2024-11-15,447,38.82,approved
12.185.790-88,Cashback compra,2024-07-08,377,506.83,approved
11.693.868-85,Recarga celular,2024-10-21,405,73.78,pending
21.576.844-23,Compra farmacia,2023-10-31,194,581.77,pending
16.523.267-48,Assinatura streaming,2024-05-28,315,535.28,pending
9.578.888-29,Estorno parcial,2023-01-19,107,329.45,rejected
10.104.854-62,Pagamento boleto,2024-07-11,401,307.98,pending
21.698.417-16,Pagamento boleto,2023-10-16,207,334.28,rejected
20.110.729-04,Pagamento boleto,2024-05-10,107,75.54,approved
22.995.081-37,Recarga celular,2023-09-13,343,375.76,approved
20.478.544-60,Compra supermercado,2024-09-15,317,339.74,rejected
18.951.377-94,Compra farmacia,2023-03-06,103,612.49,approved
13.168.379-36,Compra combustivel,2024-11-08,58,390.67,pending
16.351.034-47,Pagamento boleto,2023-03-08,413,735.68,pending
16.644.263-93,Compra vestuario,2023-09-14,145,647.03,rejected
20.541.914-72,Compra restaurante,2023-11-14,433,221.54,approved
14.719.944-85,Compra farmacia,2024-08-08,55,12.20,pending
16.364.121-33,Bonus indicacao,2025-04-03,165,483.91,approved
15.959.887-48,Compra supermercado,2024-02-28,414,492.20,pending
22.273.256-26,Estorno parcial,2024-09-06,379,76.04,pending
19.280.426-00,Compra vestuario,2025-03-11,251,445.77,rejected
13.576.259-58,Compra vestuario,2023-12-01,199,742.94,approved
13.117.271-78,Pagamento servico,2024-09-17,166,518.59,approved
8.903.322-81,Compra restaurante,2024-05-09,288,711.41,approved
8.788.434-60,Compra supermercado,2025-04-14,407,343.58,pending
9.578.801-33,Transferencia PIX,2023-02-06,273,572.56,rejected
12.906.875-99,Pagamento servico,2024-08-19,364,123.64,pending
21.478.414-56,Recarga celular,2024-03-26,122,61.02,pending
13.310.865-30,Assinatura streaming,2023-06-19,81,593.72,pending
13.670.742-15,Assinatura streaming,2023-07-31,221,195.24,approved
8.355.668-44,Compra farmacia,2024-10-08,301,430.12,pending
23.377.295-91,Compra vestuario,2024-03-26,137,254.35,approved
15.444.607-96,Compra farmacia,2023-02-05,480,200.54,approved
12.906.512-83,Cashback compra,2023-03-01,19,690.76,rejected
12.396.976-40,Compra restaurante,2024-03-29,342,659.13,approved
13.359.723-38,Transferencia PIX,2024-10-21,131,662.22,rejected
14.027.432-54,Estorno parcial,2024-02-03,225,134.21,rejected
14.675.845-45,Pagamento fatura,2024-07-31,183,724.46,pending
8.307.649-34,Cashback compra,2023-09-11,142,369.27,approved
10.190.260-21,Bonus indicacao,2024-08-07,379,693.05,pending
